treatment_code,description,list_price,confidence,tier,window_used,window_charges,mode_share_pct,second_price,second_count,third_price,third_count,list_price_365d,confidence_365d,uses_365d,revenue_365d,price_changed
115971,"RC K9 Hypo HP - 8kg",126.49,74,MEDIUM,365d,23,73.9,131.55,5,101.19,1,126.49,74,23,2909.27,false
121047,"RC K9 GI Low Fat - 385g",71.4,68,MEDIUM,365d,46,52.2,23.8,5,66,4,71.4,68,46,2898.87,false
124395,"Cartrophen Inj",47.9,32,LOW,365d,59,16.9,45.77,9,57.17,4,47.9,32,59,2872.78,false
V3,"Rabies Vaccination 3 Year  #1020508499",30,92,HIGH,180d,36,91.7,18,3,,0,30,97,95,2814,false
FT,"Fluid Therapy - Dental",55,100,HIGH,365d,51,100,,0,,0,55,100,51,2805,false
125193,"Vanectyl-P",74.88,35,LOW,365d,43,16.3,53.92,5,46.24,4,74.88,35,43,2791.05,false
130004,"Hills Fel t/d - 8.5lbs",84.81,46,LOW,365d,33,45.5,83.92,13,88.21,4,84.81,46,33,2766.84,false
HSPMED,"Hospitalization (Medical)",120,96,HIGH,365d,23,100,,0,,0,120,96,23,2760,false
NAILT,"Nail Trim (Cats/Dogs)",20.5,99,HIGH,90d,44,100,,0,,0,20.5,95,132,2749.02,false
120508,"RC Fel GI Fibre Response - 4kg",85.63,82,HIGH,365d,29,79.3,87.54,4,171.26,2,85.63,82,29,2662.17,false
142319,"Clavaseptin 750mg tablets",49.17,32,LOW,365d,37,18.9,65.1,6,118.2,4,49.17,32,37,2639.52,false
113566,"Hills Fel c/d Chicken - 4lbs",44.65,56,MEDIUM,365d,57,50.9,43.74,20,46.44,6,44.65,56,57,2626.89,false
137068,"Hills Fel c/d Stress Chicken - 4lbs",46.42,70,MEDIUM,365d,53,60.4,45.54,10,48.28,8,46.42,70,53,2605.6,false
118034,"RC Fel Hypo HP - 3.5kg",85.04,68,MEDIUM,365d,32,56.3,88.44,4,80.71,4,85.04,68,32,2591.85,false
128082,"Prozinc Human Insulin 40IU/ML 10ML",150.11,41,LOW,365d,19,31.6,112.58,4,126.91,3,150.11,41,19,2586.13,false
109637,"Hills Fel z/d - 156g",67.85,32,LOW,365d,28,17.9,84,4,67.13,3,67.85,32,28,2579.1,false
115795,"Milbemax cats (16mg/40mg)",28.06,56,MEDIUM,365d,78,38.5,24.98,12,49.62,8,28.06,56,78,2545.3,false
PRCRE2,"Priv. Cremation w/Scatter tube 9.1-20kg",210,93,HIGH,365d,12,100,,0,,0,210,93,12,2520,false
0109,"Enucleation (Single Eye)",838.8,87,HIGH,365d,3,100,,0,,0,838.8,87,3,2516.4,false
139883,"Hills K9 Derm Complete - 14.3lbs",117.86,67,MEDIUM,365d,21,61.9,122.58,4,114.29,4,117.86,67,21,2479.66,false
0013,"Canine - Spay 50-80lb",388.8,55,MEDIUM,365d,7,57.1,233.28,2,443.8,1,388.8,55,7,2465.56,false
131070,"PVD Fel UR ST/OX Turkey - 156g",72.96,33,LOW,365d,46,23.9,69.84,11,75.84,7,72.96,33,46,2397.51,false
137234,"Hills Fel Gi Biome - 8.5lbs",100,62,MEDIUM,365d,24,54.2,104,5,96.42,4,100,62,24,2387.8,false
GPFU,"Geriatric Panel + FPL + Urinalysis",331.9,91,HIGH,365d,7,100,,0,,0,331.9,91,7,2323.3,false
116018,"RC Fel Urinary SO - 8kg",129.81,76,MEDIUM,365d,16,75,123.21,2,246.42,1,129.81,76,16,2310.18,false
0008,"Canine - Neuter 10.1kg - 23kg",168,58,MEDIUM,365d,11,63.6,280,4,,0,168,58,11,2296,false
CLIPCL,"Clip & Clean Abscess/Wound per 10 mins",89.9,83,HIGH,365d,25,80,44.95,2,53.94,1,89.9,83,25,2256.49,false
128903,"Hills Fel c/d Stress Chkn Stew - 2.9oz",74.16,47,LOW,365d,24,41.7,148.32,7,154.08,2,74.16,47,24,2254.4,false
CDCD,"Diarrhea RealPCR (Comprehensive)K9",281.5,91,HIGH,365d,8,100,,0,,0,281.5,91,8,2252,false
AMPLIM,"Amputation - Limb",1118.4,86,HIGH,365d,2,100,,0,,0,1118.4,86,2,2236.8,false
137231,"K9 Hills Gi Biome 16lbs",107.14,70,MEDIUM,365d,21,71.4,103.58,6,,0,107.14,70,21,2228.58,false
WBCX,"Complex Biopsy OUT",757.9,56,MEDIUM,365d,3,66.7,711.9,1,,0,757.9,56,3,2227.7,false
140363,"Librela - 5mg/ml (First Vial)",87.8,59,MEDIUM,365d,26,53.8,75.03,7,94.27,4,87.8,59,26,2208.44,false
REEX,"Recheck Exam",65,48,LOW,365d,33,48.5,69,14,60,3,65,48,33,2186,false
137233,"Hills Fel GI Biome - 4lbs",55.35,67,MEDIUM,365d,40,57.5,57.56,8,52.65,4,55.35,67,40,2183.63,false
139333,"RC Fel Selected Protein PD - 145g",56.88,39,LOW,365d,33,33.3,75.84,10,56.48,4,56.88,39,33,2165.08,false
US,"FVS Echocardiogram",539.5,88,HIGH,365d,4,100,,0,,0,539.5,88,4,2158,false
0930,"Senior Feline  Gold Package Promo",349,76,MEDIUM,365d,6,83.3,375,1,,0,349,76,6,2120,false
128901,"Hills Fel c/d Chkn Stew - 2.9oz",68.64,49,LOW,365d,45,37.8,71.52,11,2.98,2,68.64,49,45,2112.46,false
109579,"Deramaxx 100mg",99.45,46,LOW,365d,23,39.1,45.53,6,64.47,2,99.45,46,23,2075.73,false
LIVER,"Liver Panel (IN)",171.9,93,HIGH,365d,12,100,,0,,0,171.9,93,12,2062.8,false
119897,"Aurizon Ear Drops - 10ml",64.15,77,MEDIUM,365d,33,69.7,65.83,4,55.43,4,64.15,77,33,2048.19,false
112658,"Hills K9 z/d - 370g",74.16,69,MEDIUM,365d,29,58.6,70.56,4,77.04,3,74.16,69,29,2044.86,false
HS,"Hospitlization - Surgery",55,99,HIGH,365d,37,100,,0,,0,55,99,37,2035,false
HOSP,"Hospitalization - Single Day Admission",100.12,95,HIGH,365d,20,100,,0,,0,100.12,95,20,2002.4,false
120520,"RC K9 GI Low Fat - 13kg",165.05,68,MEDIUM,365d,12,66.7,172.12,2,165.5,2,165.05,68,12,1995.64,false
02247074,"Cyclosporine 50 mg  SUMMIT",256.2,79,MEDIUM,365d,7,85.7,457.8,1,,0,256.2,79,7,1995,false
119898,"Aurizon Ear Drops 20mL",101.8,49,LOW,365d,21,52.4,86.7,9,88.96,1,101.8,49,21,1989.06,false
122352,"RC Fel GI Mod Cal - 3.5kg",74.6,54,MEDIUM,365d,23,47.8,70.8,6,77.58,2,74.6,54,23,1988.12,false
112092,"Hills Fel d/d Duck - 156g",81.36,51,MEDIUM,365d,27,48.1,80.4,9,6.7,2,81.36,51,27,1983.5,false
115883,"Fortekor 5mg",295.8,36,LOW,365d,11,27.3,156.48,2,89.4,2,295.8,36,11,1956.92,false
INDUCE,"Induce Vomiting",75,90,HIGH,365d,24,91.7,150,2,,0,75,90,24,1950,false
GERFT4,"Idexx Geriatric Panel w Free T4",324.9,90,HIGH,365d,6,100,,0,,0,324.9,90,6,1949.4,false
113572,"Hills Fel c/d Chicken - 5.5oz",74.88,61,MEDIUM,365d,41,41.5,6.24,4,13,3,74.88,61,41,1941.36,false
115275,"Hills Fel t/d - 20lbs",160.71,74,MEDIUM,365d,12,75,158.03,2,168.06,1,160.71,74,12,1930.51,false
PHE,"Phenobarbital Level OUT",158.9,79,MEDIUM,365d,12,83.3,169.5,2,,0,158.9,79,12,1928,false
143789,"PVD K9 OM Wt Manage select blend 7.48kg",224.92,55,MEDIUM,365d,11,54.5,116.96,3,112.46,2,224.92,55,11,1925.32,false
EXT2,"Extractions - 2 Rooted tooth",98,38,LOW,365d,12,33.3,58.8,3,196,3,98,38,12,1920.8,false
115314,"Clavaseptin 250mg tabs",57,42,LOW,365d,40,20,27.96,4,75,3,57,42,40,1920.7,false
PRICREM3,"Priv. Cremation w/Scatter tube 20.1-43kg",240,91,HIGH,365d,8,100,,0,,0,240,91,8,1920,false
120518,"RC K9 GI Low Fat - 3kg",54.55,64,MEDIUM,365d,31,54.8,52.28,6,56.73,4,54.55,64,31,1904.35,false
310,"Euthanasia Humane/Unattended (Client)",135,94,HIGH,365d,14,100,,0,,0,135,94,14,1890,false
BCUF,"Blocked/unblocking - FLUT flush (per hr)",550,50,MEDIUM,365d,5,60,110,2,,0,550,50,5,1870,false
