treatment_code,description,list_price,last_changed,months_held,confidence,tier,share_pct,charges_in_run,alt1_price,alt1_count,alt2_price,alt2_count,drifting,drift_price,drift_months,uses_365d,revenue_365d
DENTCALG,"Dental Clean (incl. polish) Canine >50lb",485,2019-11-01,8,64,MEDIUM,50,10,63,1,242.5,1,false,,0,2,920
PRCR1,"Priv. Cremation w/ Scatter tube <9kg",112.5,2025-01-01,8,93,HIGH,100,14,,0,,0,false,,0,8,900
137234,"Hills Fel Gi Biome - 8.5lbs",67.98,2020-02-01,2,69,MEDIUM,100,2,,0,,0,true,104,2,9,886.96
109579,"Deramaxx 100mg",45.53,2025-02-01,7,84,HIGH,84.6,13,47,1,99.45,1,true,99.45,2,11,883.95
115341,"Cerenia 60mg",40.12,2025-03-01,3,60,MEDIUM,63.6,11,26.06,2,42.12,1,true,40.92,1,21,879.68
115971,"MCRC K9 Hypo HP 8 kg",109.2,2019-11-01,12,68,MEDIUM,53.3,15,103.99,5,218.4,1,true,131.55,2,7,875.31
140510,"RC Fel Satiety - 145g",151.68,2025-12-01,4,47,LOW,40,5,28.44,1,78.72,1,false,,0,9,874.48
THM2-5,"Take Home Medication Surgery 20-50lb",45,2025-01-01,8,92,HIGH,94.7,19,90,1,,0,false,,0,18,855
113573,"Hills Fel c/d Ocean Fish - 5.5oz",15.45,2025-03-01,5,48,LOW,33.3,6,30.9,1,18.54,1,true,6.5,1,25,835.9
128198,"Hills Fel k/d Tuna Pate - 156g",3.17,2022-02-01,3,44,LOW,40,5,71.04,1,65.12,1,true,89.04,2,17,831.64
138254,"RC K9 Urinary SO - 11.5kg",106.56,2020-03-01,4,66,MEDIUM,75,4,153.13,1,,0,true,142.19,1,6,831.3
140387,"PVD Fel EN Savory Selects Chicken - 156g",44.28,2025-05-01,4,58,MEDIUM,57.1,7,3.69,1,36.9,1,true,2.95,1,16,831.04
139883,"Hills K9 Derm Complete - 14.3lbs",117.86,2026-01-01,3,48,LOW,50,4,122.58,2,,0,false,,0,7,830.89
BFA,"Idexx-Cobalamin (Vit B12)  Folate Add-on",207.5,2026-01-01,1,68,MEDIUM,100,4,,0,,0,false,,0,4,830
