treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
HSESS,"Hospital Supplies - Extra Sx Supplies",37.5,100,2,37.5,100,3,37.5,100,4,150,false
02412470,"Pyrantel Pamoate 50mg/ml (Summit)",24.81,100,1,11.1,36.4,11,11.1,30.8,13,149.66,true
CHWP,"Heartworm Antigen & Microfilariae Panel",,,0,,,0,149.5,100,1,149.5,
THOR,"Thoracocentesis",148,100,1,148,100,1,148,100,1,148,false
123552,"RC Fel Dental - 3.5kg",,,0,,,0,73.2,100,2,146.4,
GWMC,"Gateway Memorial Clay Paw Print",,,0,,,0,73,100,2,146,
140582,"Clavamox Chews 375mg",,,0,,,0,48.54,100,3,145.62,
PCV1,"PCV - First",36,100,4,36,100,4,36,100,4,144,false
UNAPC,"Urinalysis w UPC & Cystatin B Test",,,0,143.9,100,1,143.9,100,1,143.9,
115873,"Dermoscent Ess Mousse for Cats",53.31,100,2,53.31,100,2,53.31,66.7,3,143.5,false
100035,"Prednisone 5mg tab",0.34,50,4,0.34,50,4,0.34,28.6,7,143.48,false
920613,"Buster Under Constr  20cm  E-collar",15.94,100,1,15.94,100,1,15.94,100,9,143.46,false
140308,"Feliway Classic Refill - 3 x 48mL",73.73,100,1,73.73,100,1,68.81,50,2,142.54,true
134438,"Cefaseptin Chewable 300mg",23.55,100,1,40.4,66.7,3,40.4,40,5,141.13,true
127104,"Voltaren 0.1% Opthamic - 5ml",43.47,100,2,43.47,66.7,3,43.47,66.7,3,139.94,false
METINJ,"Metacam Inj. - 0.5%",,,0,,,0,4.17,33.3,6,137.88,
125224,"Revolution Dog 10.1-20kg (Red)",,,0,,,0,45.82,100,3,137.46,
115205,"Catheter Terumo IV Surflash 22g x 1in",68.5,100,2,68.5,100,2,68.5,100,2,137,false
133023,"Simparica 10mg (2.6-5.0kg) Purple",37.7,100,2,37.7,100,2,37.7,66.7,3,136.5,false
139177,"RC Gastro Kitten - 3.5kg",68.03,100,2,68.03,100,2,68.03,100,2,136.06,false
139962,"Flexadin Fel Advanced - 60s",,,0,,,0,67.85,100,2,135.7,
128175,"Trazodone - 100mg TEVA",32,33.3,6,32,28.6,7,32,28.6,7,134.86,false
107466,"Ketoconazole 200mg - APO",67.2,100,2,67.2,100,2,67.2,100,2,134.4,false
UPCIN,"Urine Protein Creatinine Ratio-In clinic",67.17,100,1,67.17,100,2,67.17,100,2,134.34,false
138953,"Prednisolone 1% Opth Suspension 10ml",,,0,36.12,100,1,30.96,50,4,134.16,
127711,"PVD Ess. Care Adult 3.6kg",,,0,,,0,44.2,66.7,3,133.9,
140521,"RC K9 Gastro low fat- SB",,,0,,,0,66.43,100,2,132.86,
EMESIS,"Emesis induction",66,100,2,66,100,2,66,100,2,132,false
142835T,"Apoquel Chewable Tabs 5.4mg (per tab)",65.2,100,2,65.2,100,2,65.2,100,2,130.4,false
125660,"Hills Fel i/d - 156g",,,0,18.6,100,2,18.6,50,4,130.2,
121855,"Medical Pet Shirt Fel XXS",,,0,43.04,100,3,43.04,100,3,129.12,
116588,"Bio Balm K9 - 50mL",,,0,18.44,66.7,3,18.44,40,5,129.04,
129648,"NEXGARD Orange (1.8-4.5kg)",,,0,,,0,128.94,100,1,128.94,
132332,"Feliway Classic Spray - 60mL",,,0,32.19,100,3,32.19,100,4,128.76,
FSAEZA,"Fecal Sedimentation Add-onAvian/Reptile",127.9,100,1,127.9,100,1,127.9,100,1,127.9,false
127741,"Flexadin Plus Cat + Sm Dog - 90s",,,0,61.33,50,2,61.33,50,2,127.06,
126002,"Panacur Suspension 10%",38.24,100,1,17.4,66.7,3,17.4,28.6,7,126.63,true
132102,"Canine CR Lyme",,,0,,,0,42.1,100,3,126.3,
137173,"Hills K9 Metabolic - 7.7lbs",,,0,,,0,62.5,100,2,125,
132211,"PVD K9 UR - 11.3kg",,,0,124.66,100,1,124.66,100,1,124.66,
SHA,"Shave Partial",,,0,,,0,31,66.7,3,124,
140310,"Feliway Friends Refill - 3 x 48mL",,,0,,,0,62,100,2,124,
124229,"Apo-Meloxicam 180mL (1.5mg/ml) for syrin",123.53,100,1,123.53,100,1,123.53,100,1,123.53,false
131750,"Hills K9 c/d Chicken - 370g",,,0,,,0,61.56,100,2,123.12,
135195,"After Surgery Wear - XS",,,0,30.68,100,4,30.68,100,4,122.72,
129939,"Hills Fel Metabolic Chkn Stew - 2.9oz",,,0,,,0,55.44,50,4,122.43,
PHEA,"Phenobarbital Level add-on OUT",,,0,,,0,121.9,100,1,121.9,
137783,"Galliprant 60 mg TAB",,,0,,,0,121.5,100,1,121.5,
143732,"Gabapentin 100mg cap",,,0,,,0,13.4,22.2,9,120.46,
CRI,"CRI Surgery",,,0,40,100,1,40,100,3,120,
308,"Cremation Communal <43kg",120,100,1,120,100,1,120,100,1,120,false
143070,"Virbac Keratolux Medicated Shampoo 473ml",,,0,,,0,59.98,100,2,119.96,
137593,"Glandex Salmon Flavoured Powder 5.5oz D",59.85,100,2,59.85,100,2,59.85,100,2,119.7,false
132529,"Glandex PB Chews - 60s",,,0,,,0,59.57,100,2,119.14,
135156,"Emeraid Intensive Care Herbivore - 100mg",,,0,23.63,66.7,3,23.63,75,4,118.15,
137289,"Hills K9 Metabolic + Mobility 15lbs",,,0,,,0,117.86,100,1,117.86,
129125,"Oxbow Essentials Adult Guinea Pig Food",41.78,100,1,41.78,100,1,37.98,66.7,3,117.74,true
99012165,"Apomorphine 3mg/ml",47.65,66.7,3,47.65,66.7,3,47.65,40,5,117.67,false
122471,"RC K9 Urinary SO Small Dog - 2kg",,,0,39.18,100,3,39.18,100,3,117.54,
113319,"Advantix II (over 25kg)",,,0,,,0,116.95,100,1,116.95,
CEFSO,"Cefazolin Sodium Inj. - 1g",,,0,,,0,46.48,66.7,3,116.2,
1201,"PCV/Ts Blood Smear/Differential",57.9,100,2,57.9,100,2,57.9,100,2,115.8,false
126198,"Stilbestrol 1mg",37.3,50,2,37.3,50,2,37.3,50,2,115.6,false
123464,"Hilarys Renal Blend - 350g",,,0,,,0,38.5,100,3,115.5,
144024,"Trizedta Aqueous Flush 118ml",31.53,100,1,30.02,66.7,3,30.02,50,4,114.09,true
BUPESR,"Buprenorphine SR 3mg/ml Inj",33.29,50,4,33.29,50,4,33.29,50,4,112.84,false
SPAD,"Spay Pregnant (Add On)",112.64,100,1,112.64,100,1,112.64,100,1,112.64,false
