treatment_code,description,price_90d,confidence_90d_pct,usage_90d,price_180d,confidence_180d_pct,usage_180d,price_365d,confidence_365d_pct,usage_365d,revenue_365d,price_drifted
138219,"Entero Aid + GI - 30ml",31.36,100,2,45.51,84.6,13,45.51,74.1,27,1106.97,true
132261,"RC K9 Hypo Treat - 500g",34.92,66.7,3,87.3,30,10,34.92,44,25,1105.92,false
125670,"Hills K9 z/d - 8 lbs",,,0,66.95,66.7,6,69.64,75,16,1103.48,
METSYRIN,"Metacam 1.5mg/ml",19.6,7.1,14,12.93,6.6,61,12.93,6.6,61,1098.16,true
THMS5-8,"Take Home Medication Surgery 50-80lb",47.5,75,4,47.5,64.3,14,47.5,75,20,1097.5,false
113594,"PVD Fel EN - 2.72kg",52.01,66.7,3,65.01,50,6,61.34,72.2,18,1096.47,true
118191,"Felimazole 5mg",55.8,75,4,52.2,40,10,52.2,26.3,19,1092.6,true
141169,"Solensia - 7mg/ml",,,0,,,0,78.04,100,14,1092.56,
121371,"PVD K9 DH - 11.3",109.05,100,1,109.05,100,7,109.05,100,10,1090.5,false
100032,"Furosemide 20mg tab",36,33.3,6,20.4,25,12,36,27.3,44,1088.84,false
118027,"RC K9 Hypo HP - 3.5kg",66.05,50,10,63.51,60,15,63.51,52.9,17,1084.42,true
0202,"Sedation Im >40  Kg",120,100,4,120,66.7,6,100.43,60,10,1082.58,true
WBMD2,"Histology w Micro Description (2 sites)",,,0,,,0,360.5,100,3,1081.5,
90910492,"Methimazole 50 mg/ml Transdermal",47.64,50,2,47.64,25,4,63.12,43.8,16,1069.51,true
137163,"CLARO 1ML",110.88,50,4,110.88,62.5,8,110.88,70,10,1068.24,false
140697,"RC K9 Gastro Low Fat - 8kg",,,0,118.53,100,6,118.53,100,9,1066.77,
121046,"RC K9 Gastro - 385g",,,0,6.03,66.7,3,72.36,53.3,15,1061.28,
132850,"Cytopoint - 30mg",114.7,100,1,106.6,80,5,106.6,70,10,1047.04,true
121049,"RC Fel GI Mod Cal - 85g",68.88,66.7,3,66,42.9,7,66,52.6,19,1043.35,true
115341,"Cerenia 60mg",47.2,20,10,47.2,30.8,13,47.2,28.6,21,1043.08,false
140509,"RC Fel Gastro - 145g",20.7,100,1,20.7,25,4,74.4,18.2,22,1041.25,true
ANESLOC,"Anesthetic - Local",80,100,2,80,100,8,80,100,13,1040,false
0613,"Metacam 0.5mg/mL",33.67,11.1,18,24.9,10.8,37,24.9,7.5,53,1038.85,true
VACC3,"Canine DA2PP Vaccination 2nd",30,100,6,30,86.7,15,30,94.3,35,1026,false
99015837,"Amitriptyline 100mg/ml Transderm Summit",52.08,83.3,6,70.14,64.3,14,70.14,60,15,1011.9,true
99015774,"Tacrolimus (MCT OIL) 0.1%",109.5,100,3,109.5,66.7,6,113.99,55.6,9,1007.95,true
140224,"Mirataz 2% 5 gr",70.92,57.1,7,65.22,61.5,13,65.22,66.7,15,1002.15,true
1378390,"Meloxadin Inj. 5mg/ml",21.7,50,2,0.08,40,5,16.15,28.3,60,997.94,true
DUAL 1,"Ultrasound Dual Cavity (Full body)",,,0,985.4,100,1,985.4,100,1,985.4,
GPFURINE,"Geriatric Panel + Fructosamine + U/A",325.9,100,2,325.9,100,2,325.9,100,3,977.7,false
120503,"RC K9 Gastro - 10kg",139.59,100,2,139.59,100,5,139.59,100,7,977.13,false
133995,"Hills K9 d/d Salmon - 25lbs",143.75,100,1,143.75,50,2,133.01,33.3,6,974.05,true
143731,"Fluoxetine 20mg caps",,,0,31.5,66.7,6,31.5,34.8,23,969,
144313,"Entero Aid + GI - 60ml",,,0,64.5,100,3,64.5,93.3,15,957,
138279,"Simparica TRIO Brown 40.1-60kg",50.48,66.7,3,50.48,75,4,50.48,33.3,9,949.7,false
UCUL,"Urine Culture OUT",213.9,75,4,213.9,75,4,213.9,60,5,940.05,false
1057,"Tonometry - Tonopen",80,100,1,80,100,4,80,91.7,12,940,false
137161,"Revolution Plus - Cats 2.6-5kg (Orange)",,,0,31.4,33.3,3,31.4,27.8,18,934.79,
AMH,"Anti-Mullerian Hormone (AMH) (AMUL)",,,0,,,0,466.5,100,2,933,
139867,"Hills C/D Stress Fel Ocean Fish 8.5lb",,,0,84.81,100,1,84.81,100,11,932.91,
GASTP,"DECLINED: Gastropexy (add on - spay)",,,0,465,100,2,465,100,2,930,
BP,"Blood Pressure Measurement",276,66.7,3,46,60,5,46,80,10,920,true
140517,"RC Fel Adult - 145g",74.4,50,2,79.92,54.5,11,79.92,50,12,915.12,true
142468,"Cephalex 500mg tabs",,,0,20.61,33.3,6,37.62,16.7,24,914.61,
PAW3,"Peartree Pawprint - Custom/Fur Match",228,100,1,228,100,1,228,50,2,912,false
119996,"PVD Fel DM - 4.54kg",87.5,100,4,87.5,85.7,7,87.5,72.7,11,910,false
THM2-5,"Take Home Medication Surgery 20-50lb",45,100,4,45,100,9,45,100,20,900,false
115881,"Fortekor 2.5mg",,,0,,,0,34.5,33.3,12,896.7,
01-22,"IDEXX Telemedicine Consultants routine",440,100,1,440,100,1,440,100,2,880,false
LANCDR,"Lance & Drain Abscess",79.6,100,4,79.6,100,6,79.6,100,11,875.6,false
124185,"Hills Fel Metabolic - 8.5lbs",,,0,97.31,100,1,97.31,88.9,9,873.12,
HNSE,"Health Exam Non-Scheduled Appt. Emerg.",97,100,9,97,100,9,97,100,9,873,false
SDMA,"SDMA IN",66.9,100,5,66.9,100,9,66.9,100,13,869.7,false
DEX,"LDDST (One Pre  Two Post) OUT",,,0,,,0,289.9,100,3,869.7,
144620,"Gabapentin 400mg (AURO)",34,50,8,34,58.3,12,34,22.6,31,869.28,false
90901341,"Prednisolone 10mg/ml Summit",69,28.6,7,13.04,11.1,18,13.04,8.3,24,867.58,true
CLIPCL,"Clip & Clean Abscess/Wound per 10 mins",179.8,100,1,44.95,50,6,44.95,27.3,11,862.08,true
AMBL,"Femoral Head Ostectomy",,,0,860,100,1,860,100,1,860,
PRIVCREM,"Private Cremation w/ Scatter tube Exotic",112.5,100,2,105,71.4,7,105,75,8,855,true
139201,"PROTOPIC OINTMENT 0.10% - 60g",,,0,282.15,100,1,282.15,100,3,846.45,
SM1W,"SmallMammal Comprehensive Profile",,,0,211.5,100,4,211.5,100,4,846,
FURD,"Respiratory Disease (URD) RealPCR Panel",420.9,100,2,420.9,100,2,420.9,100,2,841.8,false
FURCD,"Respiratory Panel RealPCR Culture If Ind",420.9,100,2,420.9,100,2,420.9,100,2,841.8,false
PRCRE2,"Priv. Cremation w/Scatter tube 9.1-20kg",210,100,1,210,100,1,210,100,4,840,false
138275,"Simparica TRIO Purple 2.6-5kg",42.55,100,1,42.55,100,1,34.23,46.2,13,838.1,true
BFA,"Idexx-Cobalamin (Vit B12)  Folate Add-on",207.5,100,4,207.5,100,4,207.5,100,4,830,false
99011495,"Fluoxetine 5mg Tablets -  Summit",70.8,66.7,3,29.4,20,10,46.8,26.7,15,824.35,true
VACC123,"Bordetella Vaccination",30,100,1,30,100,11,30,96.3,27,818,false
128902,"Hills Fel c/d Tuna Stew - 2.9oz",,,0,71.52,66.7,3,68.64,24,25,814.82,
125669,"Hills Fel k/d Chicken - 4lbs",52.01,100,4,52.01,50,8,50.01,53.3,15,804.56,true
126232,"Viaderm KC Cream - 15g",25.51,83.3,6,25.51,62.5,8,22.67,45.5,33,803.19,true
138277,"Simparica TRIO Blue 10.1-20kg",,,0,44.72,100,1,107.3,44.4,9,802.32,
305,"Cremation Communal 30-45kg",98,100,2,98,66.7,3,100,75,8,796,true
WR/D/S,"Wound Repair/Drain/Suture",,,0,66.2,100,1,66.2,90,10,794.4,
140364,"Librela - 10mg/ml (First Vial)",97.45,100,3,97.45,75,4,88.39,33.3,9,789.96,true
132212,"PVD K9 UR - 377g",,,0,112.08,100,3,112.08,75,8,784.56,
143774,"Hills Fel C/D Stress Veg/Tuna Stew",77.04,60,5,74.4,62.5,8,74.4,58.3,12,782.92,true
ENEMAM,"Enema - Manual Breakdown",130,100,1,130,100,5,130,100,6,780,false
FDXGP,"Fecal Dx Antigen Panel w/ Giardia",,,0,129.9,100,2,129.9,100,6,779.4,
128321,"Felimazole 1.25mg",43.8,75,4,43.8,42.9,7,43.8,21.4,14,778.4,false
122275,"Hills Fel y/d - 8.5lbs",,,0,98.21,100,3,98.21,87.5,8,776.75,
139347,"Optixcare Eye EMS (Yellow) 5 x 0.33mL",73.15,100,2,63,60,5,63,83.3,12,776.3,true
118480,"Milbemax Cats (16mg/40mg)",32.62,57.9,19,32.62,57.9,19,32.62,57.9,19,775.86,false
123526,"RC K9 Hypo HP - 390g",73.92,100,1,71.16,50,2,67.56,64.3,14,775.64,true
CON,"Consultation for 10 minutes",35,66.7,3,35,88.9,9,35,73.7,19,770,false
132338,"Aventi Liver Tabs - 45s",111.76,66.7,3,105.96,50,6,105.96,57.1,7,768.26,true
132210,"PVD K9 UR - 7.48kg",,,0,86.6,100,4,86.6,44.4,9,767.6,
CTP7,"Idexx Thyroid Panel 7Canine",383.5,100,2,383.5,100,2,383.5,100,2,767,false
0103,"Cyclosporine 100 mg SUMMIT",,,0,,,0,382.8,100,2,765.6,
99008135,"Gabapentin 50mg Tablet (Summit)",31.2,16.7,12,31.2,16.7,12,31.2,10.5,19,753.63,false
144618,"Gabapentin 300 mg (AURO)",33.6,28.6,7,17.7,21.1,19,17.7,13.8,29,753.47,true
117010,"RC Fel Hypo HP - 1.5kg",40.98,80,5,40.98,90.9,11,40.98,78.9,19,750.64,false
135948,"Interceptor Plus Chew Green(3.7-11.3kg)",,,0,63.2,100,1,15.95,74.2,31,749.6,
MET,"Methimazole 10 mg/ml Liquid",82.4,66.7,3,56,37.5,8,56,20,15,746.76,true
FVR2,"Feline FVRCP 2nd Vaccination",30,100,8,30,85.7,21,30,88.5,26,744,false
130010,"Hills Fel C/D + Metabolic - 12lbs",,,0,123.21,100,1,123.21,100,6,739.26,
EPIDL,"Anesthesia - Coccygeal Block",,,0,52.5,88.9,9,52.5,72.7,11,735,
PRICREM4,"Priv. Cremation w/Scatter bag >43.1 kg",,,0,,,0,245,100,3,735,
120500,"RC Fel Satiety - 1.5kg",43.54,100,2,43.54,66.7,3,41.86,50,14,731.01,true
GERBFW,"Geriatric Panel w/ Cardiopet proBNPFel",,,0,,,0,365.5,100,2,731,
HSSPE,"Hospital Supplies - Sx Pack Extensive",104.3,100,1,104.3,100,2,104.3,100,7,730.1,false
100095,"Piroxicam 10mg",106,100,4,106,80,5,106,57.1,7,721,false
SQFK,"SQ Fluids Kit ( LRS  line  10 needles)",45,100,3,45,100,7,45,93.3,15,720,false
PRICREM3,"Priv. Cremation w/Scatter tube 20.1-43kg",240,100,1,240,100,1,240,100,3,720,false
115023,"EIDAP Microchip FDX-B w/Barcode - 50/pk",60,100,12,60,100,12,60,100,12,720,false
SED-IM,"Sedation - Intramuscular",,,0,120,100,3,120,100,6,720,
105105,"Hills Fel k/d Chicken - 5.5oz",85.68,42.9,7,85.68,55.6,9,85.68,54.5,11,719.31,false
128910,"Hills Fel k/d Chkn Stew - 2.9oz",38.52,50,4,38.52,33.3,6,71.52,41.7,12,707.04,true
140307,"Feliway Classic Diffuser Starter Kit",,,0,33.59,100,7,33.59,100,21,705.39,
134433,"Aventi Kidney - 90g",70.17,100,2,70.17,66.7,3,62.76,81.8,11,705.18,true
ENTRO,"Entropion Sx - Lower - 1 Eye",,,0,703.4,100,1,703.4,100,1,703.4,
MSAO,"Mature Spay <40lb Add-On",84.78,71.4,7,84.78,71.4,7,84.78,77.8,9,695.2,false
128911,"Hills Fel k/d Tuna Stew - 2.9oz",77.04,66.7,3,74.16,71.4,7,74.16,46.2,13,685.56,true
115882,"Fortekor 5mg Tabs",,,0,63.9,100,2,63.9,37.5,8,685.32,
101089,"Tobramycin  0.3%",24.69,66.7,6,24.69,83.3,12,24.69,50,30,682.29,false
109235,"Vigamox 0.5% - 3mL",45.65,100,2,45.55,60,10,45.55,66.7,15,678.86,true
2718,"Catheterization-Indwelling Urinary",113,100,2,113,100,5,113,100,6,678,false
ULTRA 2,"FVS Ultrasonographer Travel Fee",97.5,100,4,97.5,66.7,6,97.5,57.1,7,675,false
310A,"Euthanasia Humane/Unattended (New Clien",,,0,135,100,3,135,100,5,675,
139884,"Hills K9 Derm Complete - 24lbs",168.75,100,1,168.75,100,3,168.75,75,4,672.31,false
120501,"RC Fel Satiety - 3.5kg",,,0,84,100,3,84,62.5,8,663.78,
VACC,"Canine DA2PP Vaccination 1st",30,100,7,30,100,13,30,100,22,660,false
CBC2,"CBC Repeat IN",55,100,7,55,100,7,55,100,12,660,false
125413,"Ampicillin Na Inj 250mg (Vial) TEVA",35.7,66.7,15,35.7,66.7,15,35.7,58.8,17,659.39,false
101384,"Tobradex Ointment 3.5g",35.66,60,5,40.21,50,8,40.21,50,16,657.12,true
PARVO,"Parvo Snap Test IN",,,0,59.7,100,4,59.7,100,11,656.7,
90901468,"Cisapride 10 mg/ml Summit",65.4,75,4,58.5,30,10,58.5,21.4,14,650.84,true
119299,"Hills K9 i/d - 17.6lbs",,,0,108.38,100,6,108.38,100,6,650.28,
120502,"RC K9 Gastro - 4kg",64.84,100,3,64.84,75,4,64.84,88.9,9,648.4,false
122273,"Hills Fel y/d - 5.5oz",103.68,50,4,103.68,50,4,103.68,28.6,7,642.96,false
125063,"Clomicalm 5mg 30's",68,100,2,54.37,60,5,54.37,41.7,12,629.8,true
920610,"Buster Under Constr 10cm E-collar",10.5,57.1,7,10.5,81.5,27,10.5,91.8,61,628.3,false
BM2,"Vaginal Swab (With Cytology) IN",57.1,100,2,57.1,100,2,57.1,100,11,628.1,false
99014949,"Mirtazapine 40mg/ml (1 ml syringe)",,,0,40,100,3,26.58,52.6,19,625.8,
1234,"Impression Smear with cytology",58.5,100,3,58.5,85.7,7,58.5,90.9,11,620.1,false
135379,"Epi-otic Ear Cleanser 236 ml",33.57,50,8,32.18,50,14,32.18,63.2,19,619.2,true
BG1,"Blood Glucose - First",45,100,1,45,100,6,45,92.9,14,618.75,false
139344,"Cosacthen 0.25 mg/ml 1ml",,,0,,,0,216.65,33.3,3,617.4,
FNANP1,"FNA (No Stain/Procedure) - First",76.2,100,1,76.2,100,3,76.2,100,8,609.6,false
122618,"Revolution Puppy/Kitten <2.5kg (Mauve)",34.41,66.7,3,74.32,57.1,7,74.32,60,10,607.56,true
UNAUC,"Urinalysis w Urine Culture (ID&Sus) OUT",271.5,100,2,271.5,100,2,271.5,66.7,3,606.38,false
CBC1,"CBC In House",,,0,67,100,3,67,100,9,603,
103961,"Ketoconazole 200mg",,,0,67.2,100,1,67.2,55.6,9,600.46,
INTEC,"Export Document Paper Work",200,100,1,200,100,1,200,100,3,600,false
125653,"Hills K9 t/d - 5lbs",37.14,80,5,34.82,60,10,34.82,53.3,15,596.77,true
125427,"Clindamycin - 300mg",30.8,100,1,30.8,50,2,39,35.7,14,595.64,true
AGF,"Anal Gland Expression & Infusion",,,0,66,100,1,66,100,9,594,
127717,"PVD Fel Ess. Care Adult - 85g",39.53,66.7,3,39.53,75,4,47.52,30,20,587.36,true
122349,"PROCYTE DX REAGENT KIT",,,0,586.98,100,1,586.98,100,1,586.98,
140385,"PVD Fel Calming Care - 30s",,,0,39.05,100,4,39.05,50,10,585.75,
132320,"Insulin Syr CarePoint U-40 0.5cc/29g",24.74,50,4,24.74,40,5,24.74,52.6,19,581.79,false
139213,"Hills K9 GI BIOME Chicken stew 12.5oz",76.8,33.3,6,76.8,30,10,76.8,23.1,13,574.95,false
120000,"PVD Fel OM - 2.72 kg",,,0,,,0,57.44,100,10,574.4,
140522,"RC Fel GI Fibre Response 85g",67.2,100,2,67.2,100,4,67.2,41.7,12,573.42,false
99007951,"Buprenorphine 0.8mg/ml per ml no flavor",22.71,100,1,13.02,16.7,12,34.87,18.2,22,572.16,true
FL1,"Schirmer Tear Test(Per Patient)",43.9,100,2,43.9,100,6,43.9,100,13,570.7,false
FVR1,"Feline FVRCP 1st Vaccination",30,100,6,18,62.5,16,30,56.5,23,570,false
VACC5A,"Canine DA2PP Vaccination 3rd",30,100,3,30,100,3,30,100,19,570,false
106545,"Vetmedin 2.5mg",,,0,97.8,100,1,97.8,42.9,7,568.8,
NTADC,"Nail Trim Add-On (Sm K9 or Cat)",15,100,5,15,100,16,15,97.4,38,567.75,false
0301,"Cyclosporine 50 mg 30 cps) SUMMIT",,,0,,,0,56.38,75,4,561.54,
133024,"Simparica 20mg (5.1-10.0kg) Tan",38.4,100,1,34.41,50,2,67.82,45.5,11,560.55,true
127706,"PVD K9 Ess. Care Puppy - 3.6kg",41.52,66.7,3,40,60,5,40,71.4,14,560.54,true
ULTRA 3,"Ultrasound Specialist Report",35,100,4,35,100,11,35,100,16,560,false
144039,"Sileo - 3ml",54.53,55.6,9,54.53,60,10,54.53,60,10,559.86,false
NAILTRAD,"Nail Trim Add-On",39.99,100,14,39.99,100,14,39.99,100,14,559.86,false
DEBSUT,"Debride and Suture Wound (per 10 mins)",,,0,,,0,223,50,4,557.5,
123546,"RC Fel Adult - 4.5kg",,,0,92.81,100,2,92.81,100,6,556.86,
HOSPUPCM,"UPC Hospitalization Medical Evening",42,50,4,70,60,5,70,62.5,8,554,true
131242,"RC Fel Renal Support T - 85g",,,0,32.4,100,1,64.8,88.9,9,550.8,
FF1A,"Feline FVRCPv Annual",,,0,,,0,110,100,5,550,
90909556,"Buspirone HCL 10mg/ml (Summit)",,,0,78.3,100,2,78.3,100,7,548.1,
141178,"Solensia - 7mg/ml",,,0,43.14,100,2,76.71,75,8,546.54,
131789,"RC Fel Renal Support P - 2kg",111.64,100,2,111.64,66.7,3,53.68,75,8,545.36,true
MISLAB,"Thyroid Mini Panel",272.18,100,2,272.18,100,2,272.18,100,2,544.36,false
117007,"RC K9 Urinary SO - 3kg",49.19,75,4,49.19,85.7,7,49.19,90.9,11,543.06,false
VACCFELC,"Feline Leukemia Vaccination",30,100,9,30,100,9,30,100,18,540,false
132849,"Cytopoint - 20mg",97.45,100,1,90.71,66.7,3,86.16,50,6,537.35,true
FDCD,"Diarrhea RealPCR Panel (Stand)Feline OUT",,,0,,,0,268.5,100,2,537,
FRUC,"Fructosamine OUT",,,0,133.5,100,4,133.5,100,4,534,
131002,"AeroDawg Aerosol Chamber Small",118.24,100,2,118.24,66.7,3,118.24,40,5,532.38,false
126066,"Optimmune Ophthamic 3.5g",,,0,86.31,100,1,63.69,87.5,8,532.14,
137232,"Hills Fel GI Biome Stew - 2.9oz",2.74,33.3,3,10.26,28.6,7,80.4,26.7,15,530.69,true
AUR,"Aural Hematoma (Drain & Depo)",80.25,100,2,80.25,75,4,80.25,85.7,7,529.65,false
120932,"PVD Fel EN - 4.54kg",88.01,100,1,86.48,66.7,3,86.48,83.3,6,520.41,true
142834T,"Apoquel Chewable tablets 3.6mg(per tab)",,,0,129.9,100,4,129.9,100,4,519.6,
123980,"Atopica Liquid 5mL (100mg/ml)",65.6,50,4,65.6,50,4,65.6,33.3,6,518.59,false
133043,"RC Fel Satiety Support 8.5 kg",176.45,100,1,169.66,50,2,169.66,66.7,3,515.77,true
LIVER,"Liver Panel (IN)",171.9,100,1,171.9,100,1,171.9,100,3,515.7,false
138844,"Insulin Syr Prozinc U-40 0.3ml/29g/1/2",67.44,100,1,67.44,80,5,67.44,44.4,9,512.76,false
142311,"Alpha Trak 3 Starter Kit",,,0,,,0,170.62,100,3,511.86,
123547,"MCRC Fel Adult - 10kg",,,0,169.82,100,2,169.82,100,3,509.46,
111291,"Hills Fel d/d Duck - 3.5lbs",39.29,100,1,39.29,100,2,39.29,61.5,13,506.22,false
1722,"Clean Wound/ Sore",,,0,56.2,100,1,56.2,100,9,505.8,
141167,"RC Fel Gastro - 2kg",,,0,50.13,100,3,50.13,100,10,501.3,
120513,"RC K9 GI High Fibre - 15kg",,,0,166.79,100,2,166.79,100,3,500.37,
NTR,"Nail (Torn) Removal",50,100,2,50,100,5,50,100,10,500,false
920612,"Buster Under Constr 15cm E-collar",14.28,72.7,11,14.28,88,25,14.28,61.1,36,496.22,false
143507,"Fluticasone HFA 125mcg",61.82,66.7,6,61.82,66.7,6,49.7,55.6,9,495.78,true
138218,"Entero Aid + GI - 15ml",,,0,36.61,100,5,36.61,92.9,14,495.61,
139384,"Reconcile (Fluoxetine) 16mg Chew - 30s",161.1,100,1,161.1,100,1,161.1,50,4,495.3,false
120520,"RC K9 GI Low Fat - 13kg",,,0,165.05,100,2,165.05,100,3,495.15,
COMFORT,"Methadone (Comfortan) 10 mg/ml",,,0,39.74,50,6,31.55,28.6,14,493.95,
115313,"Clavaseptin 50mg tabs",21.52,100,1,24,40,5,19,19,21,493.72,true
6353894,"Tacrolimus (oitnment) 0.02% Op",,,0,,,0,99.33,80,5,482.46,
135947,"Interceptor Plus Chew Orange(0.9-3.6 Kg)",15.98,75,4,15.98,60,5,15.44,60,20,480.28,true
ULTRA 4,"Ward Fee",,,0,30,100,2,30,100,16,480,
EMEX,"Emergency Exam",95.8,100,1,95.8,100,5,95.8,100,5,479,false
LYTE4,"Lyte 4",,,0,34.1,91.7,12,34.1,91.7,12,475.9,
127742,"Flexadin Plus M/L Dogs - 90s",79.82,100,2,79.82,66.7,3,77.85,50,6,473.38,true
135197,"After Surgery Wear - M",31.86,66.7,3,33.54,85.7,14,33.54,85.7,14,466.2,true
106306,"Sulcrate Susp. 200mg/ml",40.8,33.3,6,17.75,22.2,9,32,15.8,19,465.75,true
119328,"Hills Fel z/d - 8.5lbs",79.29,100,2,79.29,100,3,79.29,50,6,458.55,false
02247074,"Cyclosporine 50 mg  SUMMIT",,,0,457.8,100,1,457.8,100,1,457.8,
EARC,"Ear Cleaning Minor",26,80,5,26,83.3,12,26,84.2,19,457.6,false
121378,"Buprenorphine 0.3mg/ml Inj (Vetergesic)",385.2,100,1,385.2,100,1,27.4,33.3,3,457.34,true
138264,"RC Fel Urinary SO Aging + Calm - 3kg",66.98,100,2,66.98,66.7,3,64.38,71.4,7,455.86,true
FVSBIOP1,"FVS Fine Needle Biopsy 1 site-add cytolo",227,100,2,227,100,2,227,100,2,454,false
FN1,"FNA - Proc./Cytology IN",90,100,2,90,100,2,90,100,5,450,false
CRO,"Crown Amputation - Canine Tooth",,,0,,,0,112.5,100,4,450,
99012750,"Phenobarbital 40mg/ml (Summit)",56.7,100,4,56.7,100,5,56.7,71.4,7,447.9,false
139688,"Douxo S3 Pyo Shampoo 200mL",37.85,40,5,37.85,33.3,6,40.67,45.5,11,445.2,true
139882,"Hills K9 Derm Complete - 6.5lbs",65.92,66.7,3,62.5,60,5,62.5,71.4,7,444.34,true
115987,"RC K9 Urinary SO - 8kg",113.1,100,2,113.1,100,2,113.1,50,4,443.76,false
140386,"PVD Fel EN Savory Selects Salmon - 156g",44.28,66.7,3,44.28,75,4,44.28,53.3,15,442.06,false
DRAIN,"Penrose Drain Placement",110.2,100,2,110.2,100,3,110.2,100,4,440.8,false
135469,"CortiPro 1% Hydrocortisone Spray - 59mL",43.37,50,2,43.9,85.7,7,43.9,90,10,438.47,true
144616,"Gabapentin 100mg cap",15.3,16.7,12,15.3,21.1,19,12.07,16.1,31,438.22,true
137948,"CET VEGGIEDENT ZEN TARTAR LARGE",72.56,100,1,72.56,100,2,72.56,100,6,435.36,false
142179,"Emavert Inj 10mg/ml",63.08,100,1,45.29,42.9,7,45.29,33.3,9,435.22,true
139176,"RC Gastro Kitten - 2kg",35.5,100,1,35.5,100,1,49.7,88.9,9,433.1,true
139868,"Fel Hills C/D Stress w/ocean fish 17.6lb",,,0,142.85,100,3,142.85,100,3,428.55,
131778,"RC K9 Urinary SO + Hypo - 8kg",,,0,426.39,100,1,426.39,100,1,426.39,
130017,"Hills K9 c/d Chicken - 17.6lbs",,,0,106.26,100,3,106.26,100,4,425.04,
FCOOMCBC,"Idexx Coombs w CBC-Select Fel",,,0,211.9,100,2,211.9,100,2,423.8,
AS2,"ACTH Stim (One Pre  One Post) OUT",,,0,,,0,211.9,100,2,423.8,
113150,"PVD Fel UR ST/OX - 156g",6.08,25,4,72.96,28.6,7,67.2,21.4,14,421.96,true
TLI,"Tripsine(TLI)  Cobal( B12) and Folate K9",,,0,421.5,100,1,421.5,100,1,421.5,
129361,"Aerokat Chamber",,,0,109,100,3,109,75,4,420.5,
119304,"Hills K9 k/d - 17.6lbs",115.15,100,1,101.42,75,4,101.42,75,4,419.41,true
139872,"Flovent 125mcg",,,0,115.65,100,1,99.78,50,4,416.05,
133619,"Trazodone - 150mg",13.07,33.3,6,12.86,20,20,12.86,14.8,27,415.15,true
142589,"K9 PVD OM Metabolic Response JM 10.9kg",,,0,407.88,100,1,407.88,100,1,407.88,
920611,"Buster Under Const 12.5cm E-collar",12,50,4,12,76.5,17,12,88.2,34,405.24,false
TAPE,"Skin scraping-microscopic exam",61.2,66.7,3,61.2,83.3,6,61.2,85.7,7,403.92,false
US10,"Biopsy Fvs Imaging 1-4 sites",,,0,,,0,402,100,1,402,
137103,"Thyro Tab 0.4mg",141.6,100,1,43.2,66.7,3,43.2,85.7,7,400.8,true
133025,"Simparica 40mg (10.1-20kg) Teal",41.17,100,1,41.17,100,1,139.82,40,5,400.47,true
144602,"Gabapentin 600mg (AURO)",12.87,28.6,7,12.35,15.8,19,12.35,15.8,19,397.64,true
CRDCD,"DECLINED: Respiratory Disease RealPCR w/",,,0,391.5,100,1,391.5,100,1,391.5,
URM042SH,"Gateway Silhouette Urn",180,100,1,180,100,1,180,50,2,390,false
PASTEL,"Peartree Pawprint - Pastel",130,100,1,130,100,1,130,100,3,390,false
BG,"Blood Glucose - Additional",,,0,192,100,2,192,100,2,384,
125172,"VANGUARD DAPi",161.04,100,2,161.04,100,2,161.04,50,4,382.08,false
SHA1,"Total Body Shave",58.5,50,4,58.5,50,4,58.5,50,4,381.58,false
139690,"Douxo S3 Pyo Mousse 150mL",50.57,75,4,50.57,80,5,50.57,50,8,380.44,false
113713,"Hydrocodone Syrup 1mg/ml",59.36,100,1,56.4,37.5,8,56.4,27.3,11,379.22,true
ANTECH,"Ultrasound Fluid Analy/Cytopoint ANTECH",189,100,2,189,100,2,189,100,2,378,false
136909,"PVD K9 HA 377gm",80.86,33.3,6,11.48,30.8,13,11.48,30.8,13,376.52,true
130016,"Hills K9 c/d Chicken - 8.5lbs",,,0,123.2,100,3,123.2,100,3,369.6,
137100,"Thyro Tab 0.1mg",38.4,50,2,36,50,4,36,50,10,367.6,true
140366A,"Librela - 20mg/ml (Additional Vial)",61.2,100,3,61.2,100,3,61.2,100,6,367.2,false
118596,"ProSeb Antiseptic Shampoo - 16oz",37.95,33.3,6,28.64,44.4,9,28.64,54.5,11,366.47,true
MCCSA,"Idexx - Calculus Stone Analysis",140.18,66.7,3,140.18,66.7,3,140.18,66.7,3,364.47,false
1010,"Feline Leukemia Vaccination 1st",30,100,4,30,100,6,30,100,12,360,false
135948A,"Interceptor Plus Chew Green(3.7-11.3kg)",16.52,54.5,11,15.95,50,16,15.95,50,16,359.96,true
CTP1W,"Thyroid Profile 1Canine OUT",,,0,359.9,100,1,359.9,100,1,359.9,
137314,"Max & Molly Liver Treats - 500g",43.34,66.7,3,43.34,50,4,41.84,55.6,9,359.81,true
BA,"Bandage Application",,,0,,,0,89.9,100,4,359.6,
124184,"Hills Fel Metabolic - 4lbs",,,0,,,0,50.88,71.4,7,357.96,
125654,"Hills K9 t/d - 15lbs",93.25,100,1,93.25,100,1,87.5,75,4,355.75,true
132323,"Insulin Syr CarePoint U-100 1/2cc/29g",,,0,,,0,31.15,45.5,22,355.06,
121,"Reversal(Antisedan  Naloxone  Yohi) ml",,,0,7.5,100,2,75,57.1,7,352.5,
115793,"Milbemax kittens (4mg/10mg)",18.42,60,5,16.3,54.5,11,16.3,34.8,23,350.37,true
