treatment_code,description,list_price,last_changed,days_held,months_held,previous_price,last_old_price_date,confidence,tier,share_pct,charges_in_run,drifting,drift_price,drift_months,uses_365d,revenue_365d
PLT,"Pancreatic Lipase Test",53.9,2025-02-22,407,14,,,99,HIGH,97.3,75,false,,0,67,3530.46
LR15,"Laceration Repair Per 15 minutes",110,2025-12-09,117,4,137.5,2025-11-20,71,MEDIUM,77.8,9,false,,0,21,3524.36
130004,"Hills Fel t/d - 3.85kg",84.81,2025-08-01,247,6,50.89,2025-07-21,95,HIGH,100,19,true,88.21,1,42,3484.07
143563,"Senvelgo - 30ml",380.06,2025-02-06,423,6,,,82,HIGH,81.8,11,false,,0,8,3477.37
GPFPL,"Geriatric Panel + FPL",308.9,2025-03-22,379,7,,,91,HIGH,94.1,17,false,,0,12,3475.13
104862,"Metacam Oral 1.5mg/ml Bct 32ml",76.66,2025-08-15,233,6,67.42,2025-07-21,96,HIGH,100,23,true,82.21,2,47,3464.45
118600,"RC Fel Urinary SO - 85g",64.8,2025-09-09,208,3,60.72,2025-07-25,75,HIGH,85,20,true,134.4,1,47,3342.4
121157,"Metacam Oral Feline 3ml",33.84,2025-08-06,242,6,30.72,2025-07-31,94,HIGH,89.3,56,true,35.71,2,102,3340.61
4VW,"X-Rays 3 View",300,2025-11-14,142,4,,,84,HIGH,100,11,false,,0,11,3300
106544,"Vetmedin 1.25mg",69,2025-09-04,213,3,40.5,2025-08-23,62,MEDIUM,64.3,14,true,38.6,2,54,3226.4
01011,"Sedation IM 20-40 Kg",98.55,2025-12-15,111,3,88.55,2025-11-28,80,HIGH,100,11,false,,0,35,3209.25
124395,"Cartrophen Inj",38.02,2024-06-01,673,5,66.95,2024-05-17,85,HIGH,92.3,13,true,57.17,2,70,3192.44
130986,"Hills K9 i/d Low Fat - 27.5lbs",332.16,2025-02-22,407,9,328.56,2025-01-23,67,MEDIUM,53.8,13,false,,0,10,3188.74
SHAVE,"Lion Shave with sedation",193.4,2024-10-22,530,9,140,2024-08-22,96,HIGH,100,24,false,,0,16,3094.4
144178,"Solensia - 7mg/ml",76.71,2025-06-11,298,3,,,67,MEDIUM,77.8,9,true,44.44,1,39,3087.6
